sample_id,name,video_path,pose_path,label_id,label_text,text,gloss,signer_id,recording_id,variant_of,is_canonical,source_size_bytes,split
cosign_00_00011,cosign_00_00011,Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(2).mp4,pose_format/Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_003,00_BAN_NGÀY_LẠI_QUANG_VINH_(2),,True,2373856,train
cosign_00_00012,cosign_00_00012,Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(3).mp4,pose_format/Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_003,00_BAN_NGÀY_LẠI_QUANG_VINH_(3),,True,2117349,train
cosign_00_00013,cosign_00_00013,Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(4).mp4,pose_format/Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_003,00_BAN_NGÀY_LẠI_QUANG_VINH_(4),,True,2323586,train
cosign_00_00014,cosign_00_00014,Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(5).mp4,pose_format/Ban ngày/BAN_NGÀY_LẠI_QUANG_VINH_(5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_003,00_BAN_NGÀY_LẠI_QUANG_VINH_(5),,True,2549907,train
cosign_00_00015,cosign_00_00015,Ban ngày/BAN_NGÀY_MAI_HOÀNG_XUÂN_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_MAI_HOÀNG_XUÂN_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_004,00_BAN_NGÀY_MAI_HOÀNG_XUÂN_ (1),,True,9565085,train
cosign_00_00016,cosign_00_00016,Ban ngày/BAN_NGÀY_MAI_HOÀNG_XUÂN_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_MAI_HOÀNG_XUÂN_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_004,00_BAN_NGÀY_MAI_HOÀNG_XUÂN_ (2),,True,10214140,train
cosign_00_00017,cosign_00_00017,Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_005,00_BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (1),,True,7477406,train
cosign_00_00018,cosign_00_00018,Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_005,00_BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (2),,True,8257143,train
cosign_00_00019,cosign_00_00019,Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_005,00_BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (3),,True,8272021,train
cosign_00_00020,cosign_00_00020,Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_005,00_BAN_NGÀY_NGUYỄN_HOÀNG_ĐIỆP_ (4),,True,9414011,train
cosign_00_00021,cosign_00_00021,Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_006,00_BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (1),,True,10385502,train
cosign_00_00022,cosign_00_00022,Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_006,00_BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (2),,True,8848161,train
cosign_00_00023,cosign_00_00023,Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_006,00_BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (3),,True,8891816,train
cosign_00_00024,cosign_00_00024,Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_006,00_BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (4),,True,8807803,train
cosign_00_00025,cosign_00_00025,Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_006,00_BAN_NGÀY_NGUYỄN_PHƯƠNG_ANH_ (5),,True,8606388,train
cosign_00_00026,cosign_00_00026,Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_1.mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_1.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_007,00_BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_1,,True,9282525,train
cosign_00_00027,cosign_00_00027,Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_2.mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_2.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_007,00_BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_2,,True,9193242,train
cosign_00_00028,cosign_00_00028,Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_3.mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_3.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_007,00_BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_3,,True,10339285,train
cosign_00_00029,cosign_00_00029,Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_4.mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_4.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_007,00_BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_4,,True,10392611,train
cosign_00_00030,cosign_00_00030,Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_5.mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_5.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_007,00_BAN_NGÀY_NGUYỄN_QUÝ_DƯƠNG_5,,True,9940652,train
cosign_00_00031,cosign_00_00031,Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_008,00_BAN_NGÀY_NGUYỄN_THẠC_ANH_ (1),,True,7892889,train
cosign_00_00032,cosign_00_00032,Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_008,00_BAN_NGÀY_NGUYỄN_THẠC_ANH_ (2),,True,8929735,train
cosign_00_00033,cosign_00_00033,Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_008,00_BAN_NGÀY_NGUYỄN_THẠC_ANH_ (3),,True,8096393,train
cosign_00_00034,cosign_00_00034,Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_008,00_BAN_NGÀY_NGUYỄN_THẠC_ANH_ (4),,True,8989576,train
cosign_00_00035,cosign_00_00035,Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_NGUYỄN_THẠC_ANH_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_008,00_BAN_NGÀY_NGUYỄN_THẠC_ANH_ (5),,True,8243295,train
cosign_00_00036,cosign_00_00036,Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(1).mp4,pose_format/Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_009,00_BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(1),,True,10705465,train
cosign_00_00037,cosign_00_00037,Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(2).mp4,pose_format/Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_009,00_BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(2),,True,10724388,train
cosign_00_00038,cosign_00_00038,Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(3).mp4,pose_format/Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_009,00_BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(3),,True,10705284,train
cosign_00_00039,cosign_00_00039,Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(4).mp4,pose_format/Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_009,00_BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(4),,True,10465932,train
cosign_00_00040,cosign_00_00040,Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(5).mp4,pose_format/Ban ngày/BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_009,00_BAN_NGÀY_PHẠM_ĐÌNH_HẢI_(5),,True,11818776,train
cosign_00_00041,cosign_00_00041,Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_010,00_BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (1),,True,9760309,train
cosign_00_00042,cosign_00_00042,Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_010,00_BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (2),,True,10296825,train
cosign_00_00043,cosign_00_00043,Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_010,00_BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (3),,True,9585805,train
cosign_00_00044,cosign_00_00044,Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_010,00_BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (4),,True,9567133,train
cosign_00_00045,cosign_00_00045,Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_010,00_BAN_NGÀY_TRƯƠNG_NGỌC_DIỄM_ (5),,True,9131860,train
cosign_00_00046,cosign_00_00046,Ban ngày/BAN_NGÀY_TRẦN_TUẤN_MINH (5).mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_TUẤN_MINH (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_011,00_BAN_NGÀY_TRẦN_TUẤN_MINH (5),,True,8985139,train
cosign_00_00047,cosign_00_00047,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_1.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_1.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_1,,True,10146300,train
cosign_00_00048,cosign_00_00048,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_2.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_2.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_2,,True,11836486,train
cosign_00_00049,cosign_00_00049,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_3.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_3.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_3,,True,7240140,train
cosign_00_00050,cosign_00_00050,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_4.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_4.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_4,,True,10153164,train
cosign_00_00051,cosign_00_00051,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_5.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_5.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_5,,True,9098664,train
cosign_00_00052,cosign_00_00052,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_6.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_6.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_6,,True,9393797,train
cosign_00_00053,cosign_00_00053,Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_7.mp4,pose_format/Ban ngày/BAN_NGÀY_TRẦN_ĐỨC_QUÂN_7.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_012,00_BAN_NGÀY_TRẦN_ĐỨC_QUÂN_7,,True,9891739,train
cosign_00_00054,cosign_00_00054,Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_013,00_BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (1),,True,7408227,train
cosign_00_00055,cosign_00_00055,Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_013,00_BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (2),,True,5700903,train
cosign_00_00056,cosign_00_00056,Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_013,00_BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (3),,True,6757236,train
cosign_00_00057,cosign_00_00057,Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_013,00_BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (4),,True,6730796,train
cosign_00_00058,cosign_00_00058,Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_013,00_BAN_NGÀY_TẠ_THỊ_PHƯƠNG_LINH_ (5),,True,6439742,train
cosign_00_00059,cosign_00_00059,Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (1).mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (1).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_014,00_BAN_NGÀY_VŨ_HUY_DU_ (1),,True,7882564,train
cosign_00_00060,cosign_00_00060,Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (2).mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_014,00_BAN_NGÀY_VŨ_HUY_DU_ (2),,True,7876397,train
cosign_00_00061,cosign_00_00061,Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (3).mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_014,00_BAN_NGÀY_VŨ_HUY_DU_ (3),,True,7936174,train
cosign_00_00062,cosign_00_00062,Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (4).mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_014,00_BAN_NGÀY_VŨ_HUY_DU_ (4),,True,8435631,train
cosign_00_00063,cosign_00_00063,Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (5).mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_HUY_DU_ (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_014,00_BAN_NGÀY_VŨ_HUY_DU_ (5),,True,7909696,train
cosign_00_00064,cosign_00_00064,Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_1.mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_1.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_015,00_BAN_NGÀY_VŨ_KẾT_ĐỒNG_1,,True,6100436,train
cosign_00_00065,cosign_00_00065,Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_2.mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_2.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_015,00_BAN_NGÀY_VŨ_KẾT_ĐỒNG_2,,True,5618719,train
cosign_00_00066,cosign_00_00066,Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_3.mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_3.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_015,00_BAN_NGÀY_VŨ_KẾT_ĐỒNG_3,,True,6685004,train
cosign_00_00067,cosign_00_00067,Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_4.mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_4.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_015,00_BAN_NGÀY_VŨ_KẾT_ĐỒNG_4,,True,6362871,train
cosign_00_00068,cosign_00_00068,Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_5.mp4,pose_format/Ban ngày/BAN_NGÀY_VŨ_KẾT_ĐỒNG_5.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_015,00_BAN_NGÀY_VŨ_KẾT_ĐỒNG_5,,True,6940345,train
cosign_00_00069,cosign_00_00069,Ban ngày/Ban ngày _LQM.mp4,pose_format/Ban ngày/Ban ngày _LQM.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_016,00_Ban ngày _LQM,,True,9231881,train
cosign_00_00070,cosign_00_00070,Ban ngày/Ban ngày _LQM (2).mp4,pose_format/Ban ngày/Ban ngày _LQM (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_016,00_Ban ngày _LQM (2),,True,10984782,train
cosign_00_00071,cosign_00_00071,Ban ngày/Ban ngày _LQM (3).mp4,pose_format/Ban ngày/Ban ngày _LQM (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_016,00_Ban ngày _LQM (3),,True,9201914,train
cosign_00_00072,cosign_00_00072,Ban ngày/Ban ngày _LQM (4).mp4,pose_format/Ban ngày/Ban ngày _LQM (4).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_016,00_Ban ngày _LQM (4),,True,11227602,train
cosign_00_00073,cosign_00_00073,Ban ngày/Ban ngày _LQM (5).mp4,pose_format/Ban ngày/Ban ngày _LQM (5).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_016,00_Ban ngày _LQM (5),,True,10505529,train
cosign_00_00074,cosign_00_00074,Ban ngày/Ban_ngày_MVT.mp4,pose_format/Ban ngày/Ban_ngày_MVT.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_017,00_Ban_ngày_MVT,,True,15743027,train
cosign_00_00075,cosign_00_00075,Ban ngày/Ban_ngày_MVT.mp4.mp4,pose_format/Ban ngày/Ban_ngày_MVT.mp4.pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_018,00_Ban_ngày_MVT.mp4,,True,14469222,train
cosign_00_00076,cosign_00_00076,Ban ngày/Ban_ngày_MVT.mp4 (2).mp4,pose_format/Ban ngày/Ban_ngày_MVT.mp4 (2).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_018,00_Ban_ngày_MVT.mp4 (2),,True,13461375,train
cosign_00_00077,cosign_00_00077,Ban ngày/Ban_ngày_MVT.mp4 (3).mp4,pose_format/Ban ngày/Ban_ngày_MVT.mp4 (3).pkl,0,Ban ngày,Ban ngày,"[""Ban ngày""]",signer_018,00_Ban_ngày_MVT.mp4 (3),,True,14471271,train
